subcategory,word2,mean tf per document,tf,df,df.n,mean tf per document,,,tf,,,df,,,normalized df,,
,,,,,,2010,2015,2020,2010,2015,2020,2010,2015,2020,2010,2015,2020
aboveground,aboveground,10.91,38248,2113,0.60,17.71,9.86,9.56,9544,11583,17121,335,682,1096,0.62,0.58,0.61
acidification,acidification,0.10,351,145,0.04,0.12,0.07,0.11,66,88,197,19,43,83,0.04,0.04,0.05
agriculture,agriculture,1.83,6401,1593,0.45,1.77,1.87,1.82,956,2194,3251,215,548,830,0.40,0.47,0.46
amount,amount,0.60,2087,789,0.23,0.76,0.54,0.58,409,631,1047,148,247,394,0.27,0.21,0.22
belowground,belowground,2.00,7020,1343,0.38,2.92,1.61,1.98,1575,1893,3552,223,411,709,0.41,0.35,0.40
characteristic,characteristic,3.92,13735,2178,0.62,3.53,3.94,4.02,1900,4628,7207,304,699,1175,0.56,0.59,0.66
chem.property,chem.property,6.55,22962,2457,0.70,6.53,6.11,6.85,3518,7177,12267,363,822,1272,0.67,0.70,0.71
classification,classification,10.41,36474,2749,0.78,11.90,9.28,10.70,6415,10903,19156,412,940,1397,0.76,0.80,0.78
climate,climate,2.03,7126,1753,0.50,2.08,2.00,2.04,1119,2346,3661,263,538,952,0.49,0.46,0.53
compaction,compaction,0.93,3243,829,0.24,1.47,0.96,0.74,793,1128,1322,158,282,389,0.29,0.24,0.22
contamination,contamination,0.47,1645,538,0.15,0.56,0.51,0.41,301,603,741,97,172,269,0.18,0.15,0.15
cover,cover,1.54,5392,1426,0.41,1.68,1.38,1.60,908,1621,2863,230,448,748,0.43,0.38,0.42
decomposition,decomposition,0.42,1461,701,0.20,0.70,0.37,0.36,376,433,652,129,219,353,0.24,0.19,0.20
deforestation,deforestation,0.09,322,197,0.06,0.15,0.08,0.08,82,96,144,41,65,91,0.08,0.06,0.05
degradation,degradation,0.85,2975,987,0.28,0.76,0.79,0.91,410,932,1633,145,299,543,0.27,0.25,0.30
deposition,deposition,0.58,2018,877,0.25,0.75,0.57,0.53,404,671,943,131,295,451,0.24,0.25,0.25
disturbance,disturbance,4.04,14145,1777,0.51,7.26,3.63,3.33,3913,4269,5963,273,576,928,0.51,0.49,0.52
diversity,diversity,1.38,4852,1227,0.35,1.72,1.43,1.25,929,1681,2242,210,380,637,0.39,0.32,0.36
economy,economy,0.58,2048,917,0.26,0.60,0.62,0.56,325,724,999,148,325,444,0.27,0.28,0.25
environment,environment,15.41,54017,3001,0.86,17.37,14.51,15.41,9365,17052,27600,452,1020,1529,0.84,0.87,0.85
erosion,erosion,3.71,12987,2137,0.61,4.42,3.33,3.74,2381,3914,6692,309,669,1159,0.57,0.57,0.65
filtration,filtration,1.88,6585,1589,0.45,2.05,1.79,1.89,1105,2101,3379,246,482,861,0.46,0.41,0.48
global.cycles,global.cycles,1.00,3503,1025,0.29,1.53,0.75,1.00,827,880,1796,144,290,591,0.27,0.25,0.33
habitat,habitat,5.29,18554,2219,0.63,5.91,4.75,5.47,3183,5583,9788,323,730,1166,0.60,0.62,0.65
human,human,0.37,1300,642,0.18,0.38,0.35,0.38,205,410,685,103,223,316,0.19,0.19,0.18
inputs,inputs,0.14,498,302,0.09,0.14,0.12,0.15,78,146,274,45,90,167,0.08,0.08,0.09
invasion,invasion,0.04,136,79,0.02,0.01,0.05,0.04,3,60,73,2,37,40,0.00,0.03,0.02
landuse,landuse,1.90,6669,1498,0.43,1.78,1.94,1.91,960,2285,3424,201,492,805,0.37,0.42,0.45
location,location,1.56,5460,1089,0.31,2.04,1.34,1.56,1097,1574,2789,160,346,583,0.30,0.29,0.33
managing,managing,8.67,30387,2795,0.80,8.73,7.73,9.27,4706,9080,16601,416,929,1450,0.77,0.79,0.81
pest.control,pest.control,0.01,22,18,0.01,0.01,0.01,0.01,3,7,12,3,7,8,0.01,0.01,0.00
phy.property,phy.property,9.33,32707,2677,0.76,10.69,9.07,9.09,5764,10663,16280,404,880,1393,0.75,0.75,0.78
policy,policy,4.29,15052,2333,0.67,3.51,4.28,4.54,1893,5025,8134,323,811,1199,0.60,0.69,0.67
property.market,property.market,0.05,191,118,0.03,0.09,0.05,0.05,50,57,84,24,43,51,0.04,0.04,0.03
relocation,relocation,1.04,3628,1219,0.35,1.12,1.01,1.02,606,1192,1830,184,384,651,0.34,0.33,0.36
research,research,5.67,19872,2122,0.61,9.79,4.62,5.12,5277,5428,9167,319,680,1123,0.59,0.58,0.63
salinization,salinization,0.11,392,92,0.03,0.15,0.13,0.09,79,152,161,13,36,43,0.02,0.03,0.02
sealing,sealing,0.06,220,135,0.04,0.05,0.07,0.06,29,85,106,20,49,66,0.04,0.04,0.04
soil,soil,10.51,36829,2852,0.81,11.01,10.17,10.58,5936,11949,18944,426,978,1448,0.79,0.83,0.81
stability,stability,0.25,892,493,0.14,0.33,0.21,0.26,180,249,463,90,135,268,0.17,0.11,0.15
succession,succession,2.38,8350,1769,0.50,2.98,1.94,2.49,1608,2285,4457,289,569,911,0.54,0.48,0.51
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
