"year","Bavaria","BaWue","Berlin","Brandenburg","Bremen","Hamburg","Hessen","LowSax","MeckPom","NRW","RLP","Saarland","SaxAnh","Saxony","SchleHol","Thuringia","total"
"2001","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"2002","4","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","7"
"2003","2","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","4"
"2004","12","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","16"
"2005","6","0","1","0","0","0","0","0","0","1","0","0","0","18","0","0","26"
"2006","8","0","0","0","0","0","0","0","2","0","0","2","1","13","0","0","26"
"2007","20","5","0","0","2","0","14","0","0","0","0","0","1","11","0","0","53"
"2008","23","5","1","0","0","0","31","0","0","0","1","0","0","20","2","0","83"
"2009","35","5","0","3","1","1","25","0","0","9","0","3","4","4","16","0","106"
"2010","58","16","1","0","4","0","46","0","3","19","2","18","8","25","17","0","217"
"2011","61","19","0","1","1","3","44","0","13","5","36","4","12","25","19","0","243"
"2012","26","12","0","11","0","1","52","0","10","3","34","26","6","17","70","0","268"
"2013","32","13","0","24","0","0","36","0","10","19","24","10","6","5","24","2","205"
"2014","33","13","1","32","0","0","60","0","8","1","0","27","7","8","29","2","221"
"2015","17","21","2","61","1","2","77","0","7","4","1","7","3","0","24","11","238"
"2016","60","18","2","10","0","0","184","1","4","2","5","3","5","0","31","3","328"
"2017","35","16","1","15","0","3","27","0","35","4","2","1","5","0","59","5","208"
"2018","54","12","2","26","1","4","3","0","48","3","1","1","1","1","34","56","247"
"2019","51","17","6","76","0","0","3","0","53","80","0","19","0","120","10","48","483"
"2020","18","37","2","36","0","0","11","1","14","346","0","2","1","0","6","53","527"
"sum","555","209","21","295","10","14","613","2","207","497","106","124","63","270","341","180","3507"
